CE25;CE25_id;Antimoon;Beryllium;Chroom;Kobalt;Cokeskolen;Fluoriet;Fosfor;Indium;Lithium;Molybdeen;Grafiet;Niobium;Silicium;Zilver;Tin;Titanium;Wolfraam;Vanadium;Zink;Aluminium;Barieten;Bentoniet;Boor;Koper;Diatomiet;Veldspaat;Gallium;Germanium;Goud;Gips;Ijzer;Kaolien;Kalksteen;Magnesium;Mangaan;Nikkel;Perliet;Rhenium;Selenium;Silicazand;Strontium;Talk;Tantalum;Tellurium;Uranium;Zirconium;Iridium;Osmium;Palladium;Platina;Rhodium;Ruthenium;Cerium;Europium;Gadolinium;Lanthanum;Neodymium;Praseodymium;Samarium;Scandium;Dysprosium;Terbium;Ytterbium;Yttrium
Land- en tuinbouwproducten;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bosbouwproducten;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Veehouderij-, jacht- en visserijproducten;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Voedsel, plantaardig;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,632158393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Voedsel, dierlijk;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Voedsel, overig;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,68306791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Steenkool, bruinkool, aardgas en ruwe aardolie;7;0;0;0;0;0,002730163;0;0;0;2,05E-09;8,40E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cokes en aardolieproducten;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ertsen;9;0,000108089;4,95E-10;0,009823428;8,24E-05;0;0;0;6,45E-11;7,98E-06;0,156627864;0;0,000811157;0,000174442;0,02519635;1,07E-07;1,518924404;0,000165318;5,35939E-05;0,990058302;0,004185949;0;0;0;0,00132619;0;0;0;2,02E-09;0,000252089;0;5,913807539;0,01074576;0;6,94E-05;0,406760365;0;0;0;0;0;0;0;9,48E-07;0;0;0,046273014;1,15E-11;7,21E-13;3,07E-10;2,88E-10;7,21E-12;5,76E-13;1,29E-07;0;0;2,20E-07;1,42E-07;0;0;0;0;0;0;0
Zout, zand, grind, klei;10;0;0;0;0;0,001043873;0,011735245;0,020858419;6,39E-12;0;0;0,000574198;0;0,000370692;0;0;0;0;0;0;0,008078892;1,959794257;15,48396709;0,371479168;0;0,153425235;0,003712502;0;0;0;12,51863023;0,099811505;1,981611075;27,20851548;0,000154527;0,002714652;0;0,786720628;0;0;6,625874375;0;8,27435878;0;0;0;0,048235621;0;0;0;0;0;0;7,38E-09;0;0;1,25E-08;8,12E-09;0;0;0;0;0;0;0
