2020;;;;;;
MKI_DMI_M_EUR;Biomassa en voedsel;Kunststoffen;Maakindustrie;Bouwmaterialen;Consumptiegoederen;Overig
Drenthe;8324.24;116.04;3580.80;497.18;646.44;14.87
Flevoland;6577.21;103.30;1670.83;310.89;559.68;10.86
Friesland;11407.47;122.61;4182.82;326.53;715.37;22.67
Gelderland;29496.03;665.31;11146.45;1825.72;3271.88;69.57
Groningen;5962.69;238.55;16413.41;675.07;771.27;21.58
Limburg;14352.43;366.75;8487.08;1659.88;2270.04;48.26
Noord-Brabant;30791.28;1217.14;22883.89;3351.08;5562.51;47.12
Noord-Holland;28429.50;538.72;54588.82;2309.34;5529.08;197.76
Overijssel;13214.50;598.69;8414.30;1643.38;2077.42;40.91
Utrecht;14283.99;278.34;7978.75;1065.27;3024.54;71.66
Zeeland;5690.24;83.75;14461.73;669.16;903.43;15.18
Zuid-Holland;44194.46;1150.50;114505.64;5879.60;23218.37;285.29
