cbs;Goederengroep;Grondstof
01;Land- en tuinbouwproducten;biotisch
02;Bosbouwproducten;biotisch
03;Veehouderij-, jacht- en visserijproducten;biotisch
04;Voedsel, plantaardig;biotisch
05;Voedsel, dierlijk;biotisch
06;Voedsel, overig;biotisch
07;Steenkool, bruinkool, aardgas en ruwe aardolie;abiotisch
08;Cokes en aardolieproducten;abiotisch
09;Ertsen;abiotisch
10;Zout, zand, grind, klei;abiotisch
11;Overige minerale producten;abiotisch
12;Chemische producten en kunstmest;abiotisch
13;Farmaceutica en chemische specialiteiten;abiotisch
14;Kunststoffen, rubber;abiotisch
15;Basismetalen en basismetaalproducten;abiotisch
16;Metaalproducten;abiotisch
17;Machines en apparaten voor de industrie;abiotisch
18;Overige machines en apparaten;abiotisch
19;Transportmiddelen;abiotisch
20;Textiel;biotisch
21;Kleding, bont en leer;biotisch
22;Hout- en kurkproducten, papier en pulp;biotisch
23;Meubels;gemengd
25;Overige goederen;gemengd
