"Order","Level","Ref","Parent","Code","Parent_code","Description","Description_EN","Unit","Description_unit_EN"
"2201825","1","010011000090",,"I",,"SECTION I - LIVE ANIMALS; ANIMAL PRODUCTS","LIVE ANIMALS; ANIMAL PRODUCTS",,
"2201826","2","010021000090","010011000090","01","I","CHAPTER 1 - LIVE ANIMALS","LIVE ANIMALS",,
"2201827","3","010100000080","010021000090","0101","01","Live horses, asses, mules and hinnies","Live horses, asses, mules and hinnies",,
"2201828","4","010121000010","010100000080",,"0101","- Horses",,,
"2201829","5","010121000080","010121000010","0101 21 00",,"-- Pure-bred breeding animals","Pure-bred breeding horses","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201830","5","010129000080","010121000010","0101 29",,"-- Other","Live horses (excl. pure-bred for breeding)",,
"2201831","6","010129100080","010129000080","0101 29 10","0101 29","--- For slaughter","Horses for slaughter","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201832","6","010129900080","010129000080","0101 29 90","0101 29","--- Other","Live horses (excl. for slaughter, pure-bred for breeding)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201833","4","010130000080","010100000080","0101 30 00","0101","- Asses","Live asses","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201834","4","010190000080","010100000080","0101 90 00","0101","- Other","Live mules and hinnies","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201835","3","010200000080","010021000090","0102","01","Live bovine animals","Live bovine animals",,
"2201836","4","010221000010","010200000080",,"0102","- Cattle",,,
"2201837","5","010221000080","010221000010","0102 21",,"-- Pure-bred breeding animals","Pure-bred cattle for breeding",,
"2201838","6","010221100080","010221000080","0102 21 10","0102 21","--- Heifers (female bovines that have never calved)","Pure-bred breeding heifers ""female bovines that have never calved""","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201839","6","010221300080","010221000080","0102 21 30","0102 21","--- Cows","Pure-bred breeding cows (excl. heifers)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201840","6","010221900080","010221000080","0102 21 90","0102 21","--- Other","Pure-bred cattle for breeding (excl. heifers and cows)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201841","5","010229000080","010221000010","0102 29",,"-- Other","Live cattle (excl. pure-bred for breeding)",,
"2201842","6","010229050080","010229000080","0102 29 05","0102 29","--- Of the sub-genus Bibos or of the sub-genus Poephagus","Live cattle of the sub-genus Bibos or Poephagus (excl. pure-bred for breeding)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201843","6","010229100010","010229000080",,"0102 29","--- Other",,,
"2201844","7","010229100080","010229100010","0102 29 10",,"---- Of a weight not exceeding 80 kg","Live cattle of a weight <= 80 kg (excl. pure-bred for breeding)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201845","7","010229210010","010229100010",,,"---- Of a weight exceeding 80 kg but not exceeding 160 kg",,,
"2201846","8","010229210080","010229210010","0102 29 21",,"----- For slaughter","Cattle of a weight > 80 kg but <= 160 kg, for slaughter","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201847","8","010229290080","010229210010","0102 29 29",,"----- Other","Live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201848","7","010229410010","010229100010",,,"---- Of a weight exceeding 160 kg but not exceeding 300 kg",,,
"2201849","8","010229410080","010229410010","0102 29 41",,"----- For slaughter","Cattle of a weight > 160 kg but <= 300 kg, for slaughter","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201850","8","010229490080","010229410010","0102 29 49",,"----- Other","Live cattle of a weight > 160 kg but <= 300 kg (excl. for slaughter, pure-bred for breeding)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201851","7","010229510010","010229100010",,,"---- Of a weight exceeding 300 kg",,,
"2201852","8","010229510020","010229510010",,,"----- Heifers (female bovines that have never calved)",,,
"2201853","9","010229510080","010229510020","0102 29 51",,"------ For slaughter","Heifers ""female bovines that have never calved"" of a weight > 300 kg, for slaughter","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201854","9","010229590080","010229510020","0102 29 59",,"------ Other","Live heifers ""female bovines that have never calved"" of a weight > 300 kg (excl. for slaughter and pure-bred for breeding)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201855","8","010229610010","010229510010",,,"----- Cows",,,
"2201856","9","010229610080","010229610010","0102 29 61",,"------ For slaughter","Cows of a weight > 300 kg, for slaughter (excl. heifers)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201857","9","010229690080","010229610010","0102 29 69",,"------ Other","Live cows of a weight > 300 kg (excl. for slaughter and pure-bred for breeding and heifers)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201858","8","010229910010","010229510010",,,"----- Other",,,
"2201859","9","010229910080","010229910010","0102 29 91",,"------ For slaughter","Cattle of a weight > 300 kg, for slaughter (excl. heifers and cows)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201860","9","010229990080","010229910010","0102 29 99",,"------ Other","Live cattle of a weight > 300 kg (excl. for slaughter, pure-bred for breeding and heifers and cows)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201861","4","010231000010","010200000080",,"0102","- Buffalo",,,
"2201862","5","010231000080","010231000010","0102 31 00",,"-- Pure-bred breeding animals","Pure-bred buffalo for breeding","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201863","5","010239000080","010231000010","0102 39",,"-- Other","Live buffalo (excl. pure-bred for breeding)",,
"2201864","6","010239100080","010239000080","0102 39 10","0102 39","--- Domestic species","Live domestic buffalo (excl. pure-bred for breeding)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201865","6","010239900080","010239000080","0102 39 90","0102 39","--- Other","Live buffalo (excl. domestic species and pure-bred for breeding)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201866","4","010290000080","010200000080","0102 90","0102","- Other","Live bovine animals (excl. cattle and buffalo)",,
"2201867","5","010290200080","010290000080","0102 90 20","0102 90","-- Pure-bred breeding animals","Bovine pure-bred breeding animals (excl. cattle and buffalo)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201868","5","010290910010","010290000080",,"0102 90","-- Other",,,
"2201869","6","010290910080","010290910010","0102 90 91",,"--- Domestic species","Live domestic bovine animals (excl. cattle and buffalo and pure-bred for breeding)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201870","6","010290990080","010290910010","0102 90 99",,"--- Other","Live bovine animals (excl. cattle, buffalo, pure-bred for breeding and domestic species)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201871","3","010300000080","010021000090","0103","01","Live swine","Live swine",,
"2201872","4","010310000080","010300000080","0103 10 00","0103","- Pure-bred breeding animals","Pure-bred breeding swine","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201873","4","010391000010","010300000080",,"0103","- Other",,,
"2201874","5","010391000080","010391000010","0103 91",,"-- Weighing less than 50 kg","Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)",,
"2201875","6","010391100080","010391000080","0103 91 10","0103 91","--- Domestic species","Domestic swine, weighing < 50 kg (excl. pure-bred for breeding)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201876","6","010391900080","010391000080","0103 91 90","0103 91","--- Other","Live non-domestic swine, weighing < 50 kg","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201877","5","010392000080","010391000010","0103 92",,"-- Weighing 50 kg or more","Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)",,
"2201878","6","010392110010","010392000080",,"0103 92","--- Domestic species",,,
"2201879","7","010392110080","010392110010","0103 92 11",,"---- Sows having farrowed at least once, of a weight of not less than 160 kg","Live domestic sows, having farrowed at least once, weighing >= 160 kg (excl. pure-bred for breeding)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201880","7","010392190080","010392110010","0103 92 19",,"---- Other","Live domestic swine, weighing >= 50 kg (excl. sows having farrowed at least once and weighing >= 160 kg, and those pure-bred for breeding)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201881","6","010392900080","010392000080","0103 92 90","0103 92","--- Other","Live non-domestic swine, weighing >= 50 kg","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201882","3","010400000080","010021000090","0104","01","Live sheep and goats","Live sheep and goats",,
"2201883","4","010410000080","010400000080","0104 10","0104","- Sheep","Live sheep",,
"2201884","5","010410100080","010410000080","0104 10 10","0104 10","-- Pure-bred breeding animals","Pure-bred sheep for breeding","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201885","5","010410300010","010410000080",,"0104 10","-- Other",,,
"2201886","6","010410300080","010410300010","0104 10 30",,"--- Lambs (up to a year old)","Live lambs ""sheep up to a year old"" (excl. purebred breeding animals)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201887","6","010410800080","010410300010","0104 10 80",,"--- Other","Live sheep (excl. lambs and pure-bred breeding animals)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201888","4","010420000080","010400000080","0104 20","0104","- Goats","Live goats",,
"2201889","5","010420100080","010420000080","0104 20 10","0104 20","-- Pure-bred breeding animals","Pure-bred breeding goats","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201890","5","010420900080","010420000080","0104 20 90","0104 20","-- Other","Live goats (excl. pure-bred for breeding)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201891","3","010500000080","010021000090","0105","01","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Live poultry, ""fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""",,
"2201892","4","010511000010","010500000080",,"0105","- Weighing not more than 185 g",,,
"2201893","5","010511000080","010511000010","0105 11",,"-- Fowls of the species Gallus domesticus","Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)",,
"2201894","6","010511110010","010511000080",,"0105 11","--- Grandparent and parent female chicks",,,
"2201895","7","010511110080","010511110010","0105 11 11",,"---- Laying stocks","Grandparent and parent female chicks of fowls of the species Gallus domesticus laying stocks of a weight of <= 185 g","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201896","7","010511190080","010511110010","0105 11 19",,"---- Other","Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201897","6","010511910010","010511000080",,"0105 11","--- Other",,,
"2201898","7","010511910080","010511910010","0105 11 91",,"---- Laying stocks","Laying stock ""fowls of the species Gallus domesticus"" of a weight of <= 185 g (excl. grandparent and parent female chicks)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201899","7","010511990080","010511910010","0105 11 99",,"---- Other","Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. grandparent and parent female chicks and laying stocks)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201900","5","010512000080","010511000010","0105 12 00",,"-- Turkeys","Live domestic turkeys, weighing <= 185 g","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201901","5","010513000080","010511000010","0105 13 00",,"-- Ducks","Live domestic ducks, weighing <= 185 g","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201902","5","010514000080","010511000010","0105 14 00",,"-- Geese","Live domestic geese, weighing <= 185 g","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201903","5","010515000080","010511000010","0105 15 00",,"-- Guinea fowls","Live domestic guinea fowls, weighing <= 185 g","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201904","4","010594000010","010500000080",,"0105","- Other",,,
"2201905","5","010594000080","010594000010","0105 94 00",,"-- Fowls of the species Gallus domesticus","Live fowls of the species Gallus domesticus, weighing > 185","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201906","5","010599000080","010594000010","0105 99",,"-- Other","Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g",,
"2201907","6","010599100080","010599000080","0105 99 10","0105 99","--- Ducks","Live domestic ducks, weighing > 185 g","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201908","6","010599200080","010599000080","0105 99 20","0105 99","--- Geese","Live domestic geese, weighing > 185 g","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201909","6","010599300080","010599000080","0105 99 30","0105 99","--- Turkeys","Live domestic turkeys, weighing > 185 g","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201910","6","010599500080","010599000080","0105 99 50","0105 99","--- Guinea fowls","Live domestic guinea fowls, weighing > 185 g","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201911","3","010600000080","010021000090","0106","01","Other live animals","Live animals (excl. horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, poultry, fish, crustaceans, molluscs and other aquatic invertebrates, and microorganic cultures etc.)",,
"2201912","4","010611000010","010600000080",,"0106","- Mammals",,,
"2201913","5","010611000080","010611000010","0106 11 00",,"-- Primates","Live primates","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201914","5","010612000080","010611000010","0106 12 00",,"-- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201915","5","010613000080","010611000010","0106 13 00",,"-- Camels and other camelids (Camelidae)","Live camels and other camelids [Camelidae]","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201916","5","010614000080","010611000010","0106 14",,"-- Rabbits and hares","Live rabbits and hares",,
"2201917","6","010614100080","010614000080","0106 14 10","0106 14","--- Domestic rabbits","Live domestic rabbits","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201918","6","010614900080","010614000080","0106 14 90","0106 14","--- Other","Live rabbits and hares (excl. domestic rabbits)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201919","5","010619000080","010611000010","0106 19 00",,"-- Other","Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)","-","DE: Keine besondere Maßeinheit; EN: No supplementary unit; FR: Pas d'unité supplémentaire"
"2201920","4","010620000080","010600000080","0106 20 00","0106","- Reptiles (including snakes and turtles)","Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201921","4","010631000010","010600000080",,"0106","- Birds",,,
"2201922","5","010631000080","010631000010","0106 31 00",,"-- Birds of prey","Live birds of prey","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
