"Order","Level","Ref","Parent","Code","Parent","Description_NL","Unit","Description_unit_NL"
"2201825","1","010011000090",,"I",,"AFDELING I - LEVENDE DIEREN EN PRODUCTEN VAN HET DIERENRIJK",,
"2201826","2","010021000090","010011000090","01","I","HOOFDSTUK 1 - LEVENDE DIEREN",,
"2201827","3","010100000080","010021000090","0101","01","Levende paarden, ezels, muildieren en muilezels",,
"2201828","4","010121000010","010100000080",,"0101","- paarden",,
"2201829","5","010121000080","010121000010","0101 21 00",,"-- fokdieren van zuiver ras","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201830","5","010129000080","010121000010","0101 29",,"-- andere",,
"2201831","6","010129100080","010129000080","0101 29 10","0101 29","--- slachtpaarden","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201832","6","010129900080","010129000080","0101 29 90","0101 29","--- andere","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201833","4","010130000080","010100000080","0101 30 00","0101","- ezels","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201834","4","010190000080","010100000080","0101 90 00","0101","- andere","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201835","3","010200000080","010021000090","0102","01","Levende runderen",,
"2201836","4","010221000010","010200000080",,"0102","- rundvee",,
"2201837","5","010221000080","010221000010","0102 21",,"-- fokdieren van zuiver ras",,
"2201838","6","010221100080","010221000080","0102 21 10","0102 21","--- vaarzen (vrouwelijke runderen die nog niet gekalfd hebben)","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201839","6","010221300080","010221000080","0102 21 30","0102 21","--- koeien","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201840","6","010221900080","010221000080","0102 21 90","0102 21","--- andere","p/st","DE: Anzahl Stück; EN: Number of items; FR: Nombre de pièces"
"2201841","5","010229000080","010221000010","0102 29",,"-- andere",,
