"Order","Level","Code","Parent","Bezeichnung","Bezug zur CPA 2008"
"474991","1","01",,"Erzeugnisse der Landwirtschaft, Jagd und Forstwirtschaft; Fische und Fischereierzeugnisse",
"474992","2","01.1","01","Getreide","01.11.1, 01.11.2, 01.11.3, 01.11.4, 01.12"
"474993","2","01.2","01","Kartoffeln","01.13.51"
"474994","2","01.3","01","Zuckerrüben ","01.13.71"
"474995","2","01.4","01","Anderes frisches Obst und Gemüse","01.11.6, 01.11.7, 01.13.1, 01.13.2, 01.13.3, 01.13.4, 01.13.52, 01.13.53, 01.13.59, 01.13.8, 01.13.9, 01.14, 01.21, 01.22, 01.23, 01.24, 01.25.1, 01.25.3, 01.25.9, 01.26, 02.30.4"
"474996","2","01.5","01","Forstwirtschaftliche Erzeugnisse","02.10.1, 02.10.3, 02.2, 02.30.1, 02.30.2, 02.30.3"
"474997","2","01.6","01","Lebende Pflanzen und Blumen","01.13.6, 01.13.72, 01.19.2, 01.25.2, 01.30"
"474998","2","01.7","01","Andere Erzeugnisse pflanzlichen Ursprungs","01.11.5, 01.11.8, 01.11.9, 01.15, 01.16, 01.19.1, 01.19.3, 01.27, 01.28, 01.29"
"474999","2","01.8","01","Lebende Tiere","01.41.1, 01.42.1, 01.43, 01.44, 01.45.1, 01.46, 01.47.1, 01.49.1 "
"475000","2","01.9","01","Kuh-, Schaf- und Ziegenmilch, roh","01.41.2, 01.45.2"
"475001","2","01.A","01","Andere Erzeugnisse tierischen Ursprungs","01.42.2, 01.45.3, 01.47.2, 01.49.2, 01.49.3"
"475002","2","01.B","01","Fische und Fischereierzeugnisse ","03"
"475003","1","02",,"Kohle; rohes Erdöl und Erdgas",
"475004","2","02.1","02","Kohle ","05"
"475005","2","02.2","02","Erdöl ","06.1"
"475006","2","02.3","02","Erdgas ","06.2"
"475007","1","03",,"Erze, Steine und Erden, sonstige Bergbauerzeugnisse; Torf; Uran- und Thoriumerze",
"475008","2","03.1","03","Eisenerze","07.1"
"475009","2","03.2","03","NE‑Metallerze (ohne Uran- und Thoriumerze)","07.29"
"475010","2","03.3","03","Chemische und (natürliche) Düngemittelminerale","08.91"
"475011","2","03.4","03","Salz und Natriumchlorid; Meerwasser","08.93"
"475012","2","03.5","03","Natursteine, Sand, Kies, Ton, Torf, Steine und Erden a.n.g.; sonstige Bergbauerzeugnisse","08.1, 08.92, 08.99"
"475013","2","03.6","03","Uran- und Thoriumerze","07.21"
"475014","1","04",,"Nahrungs- und Genussmittel",
"475015","2","04.1","04","Fleisch, rohe Häute und Felle, Fleischerzeugnisse","10.1"
"475016","2","04.2","04","Fisch und Fischerzeugnisse, verarbeitet und haltbar gemacht","10.2"
"475017","2","04.3","04","Obst und Gemüse, verarbeitet und haltbar gemacht","10.3"
"475018","2","04.4","04","Tierische und pflanzliche Öle und Fette","10.4"
"475019","2","04.5","04","Milch, Milcherzeugnisse und Speiseeis","10.5"
"475020","2","04.6","04","Mahl- und Schälmühlenerzeugnisse; Stärke und Stärkeerzeugnisse; Futtermittel","10.6, 10.9"
"475021","2","04.7","04","Getränke","11"
"475022","2","04.8","04","Sonstige Nahrungsmittel a.n.g. und Tabakerzeugnisse (außer im Paketdienst oder als Sammelgut)","10.7, 10.8, 12"
"475023","2","04.9","04","Sonstige Nahrungsmittel und Tabakerzeugnisse im Paketdienst oder als Sammelgut","Various in 10, 11 or 12 / Verschiedene in 10, 11 oder 12 / Divers dans 10, 11 ou 12"
"475024","1","05",,"Textilien und Bekleidung; Leder und Lederwaren",
"475025","2","05.1","05","Textilien ","13"
"475026","2","05.2","05","Bekleidung und Pelzwaren","14"
"475027","2","05.3","05","Leder und Lederwaren ","15"
"475028","1","06",,"Holz sowie Holz-, Kork- und Flechtwaren (ohne Möbel); Papier, Pappe und Waren daraus; Verlags- und Druckerzeugnisse, bespielte Ton-, Bild- und Datenträger",
"475029","2","06.1","06","Holz-, Kork- und Flechtwaren (ohne Möbel)","16"
"475030","2","06.2","06","Papier, Pappe und Waren daraus","17"
"475031","2","06.3","06","Verlags- und Druckerzeugnisse, bespielte Ton-, Bild- und Datenträger","18, 58, 59"
"475032","1","07",,"Kokereierzeugnisse und Mineralölerzeugnisse ",
"475033","2","07.1","07","Kokereierzeugnisse; Briketts und ähnliche feste Brennstoffe","19.1, 19.20.1"
"475034","2","07.2","07","Flüssige Mineralölerzeugnisse ","19.20.2"
"475035","2","07.3","07","Gasförmige, verflüssigte oder verdichtete Mineralölerzeugnisse","19.20.3"
"475036","2","07.4","07","Feste oder wachsartige Mineralölerzeugnisse","19.20.4"
"475037","1","08",,"Chemische Erzeugnisse und Chemiefasern; Gummi- und Kunststoffwaren; Spalt- und Brutstoffe ",
"475038","2","08.1","08","Chemische Grundstoffe, mineralisch","20.11, 20.12, 20.13.2, 20.13.3, 20.13.4, 20.13.5, 20.13.6"
"475039","2","08.2","08","Chemische Grundstoffe, organisch","20.14"
"475040","2","08.3","08","Stickstoffverbindungen und Düngemittel (ohne natürliche Düngemittel)","20.15"
"475041","2","08.4","08","Basiskunststoffe und synthetischer Kautschuk, in Primärformen","20.16, 20.17"
"475042","2","08.5","08","Pharmazeutische und parachemische Erzeugnisse einschließlich Pestizide und andere agrochemische Erzeugnisse","20.2, 20.3, 20.4, 20.5, 20.6, 21"
"475043","2","08.6","08","Gummi- oder Kunststoffwaren","22"
"475044","2","08.7","08","Spalt- und Brutstoffe","20.13.1"
"475045","1","09",,"Sonstige Mineralerzeugnisse",
"475046","2","09.1","09","Glas und Glaswaren, Porzellan und keramische Erzeugnisse","23.1, 23.2, 23.3, 23.4"
"475047","2","09.2","09","Zement, Kalk, gebrannter Gips","23.5"
"475048","2","09.3","09","Sonstige Baumaterialien und ‑erzeugnisse"," 23.6, 23.7, 23.9"
"475049","1","10",,"Metalle und Halbzeug daraus; Metallerzeugnisse, ohne Maschinen und Geräte",
