"Order","Level","Code","Parent","Description","Reference to CPA 2008"
"474991","1","01",,"Products of agriculture, hunting, and forestry; fish and other fishing products",
"474992","2","01.1","01","Cereals","01.11.1, 01.11.2, 01.11.3, 01.11.4, 01.12"
"474993","2","01.2","01","Potatoes","01.13.51"
"474994","2","01.3","01","Sugar beet ","01.13.71"
"474995","2","01.4","01","Other fresh fruit and vegetables","01.11.6, 01.11.7, 01.13.1, 01.13.2, 01.13.3, 01.13.4, 01.13.52, 01.13.53, 01.13.59, 01.13.8, 01.13.9, 01.14, 01.21, 01.22, 01.23, 01.24, 01.25.1, 01.25.3, 01.25.9, 01.26, 02.30.4"
"474996","2","01.5","01","Products of forestry and logging","02.10.1, 02.10.3, 02.2, 02.30.1, 02.30.2, 02.30.3"
"474997","2","01.6","01","Live plants and flowers","01.13.6, 01.13.72, 01.19.2, 01.25.2, 01.30"
"474998","2","01.7","01","Other substances of vegetable origin","01.11.5, 01.11.8, 01.11.9, 01.15, 01.16, 01.19.1, 01.19.3, 01.27, 01.28, 01.29"
"474999","2","01.8","01","Live animals","01.41.1, 01.42.1, 01.43, 01.44, 01.45.1, 01.46, 01.47.1, 01.49.1 "
"475000","2","01.9","01","Raw milk from bovine cattle, sheep and goats","01.41.2, 01.45.2"
"475001","2","01.A","01","Other raw materials of animal origin","01.42.2, 01.45.3, 01.47.2, 01.49.2, 01.49.3"
"475002","2","01.B","01","Fish and other fishing products ","03"
"475003","1","02",,"Coal and lignite; crude petroleum and natural gas",
"475004","2","02.1","02","Coal and lignite ","05"
"475005","2","02.2","02","Crude petroleum ","06.1"
"475006","2","02.3","02","Natural gas ","06.2"
"475007","1","03",,"Metal ores and other mining and quarrying products; peat; uranium and thorium",
"475008","2","03.1","03","Iron ores","07.1"
"475009","2","03.2","03","Non ferrous metal ores (except uranium and thorium ores)","07.29"
"475010","2","03.3","03","Chemical and (natural) fertilizer minerals","08.91"
"475011","2","03.4","03","Salt","08.93"
"475012","2","03.5","03","Stone, sand, gravel, clay, peat and other mining and quarrying products n.e.c.","08.1, 08.92, 08.99"
"475013","2","03.6","03","Uranium and thorium ores","07.21"
"475014","1","04",,"Food products, beverages and tobacco",
"475015","2","04.1","04","Meat, raw hides and skins and meat products","10.1"
"475016","2","04.2","04","Fish and fish products, processed and preserved","10.2"
"475017","2","04.3","04","Fruit and vegetables, processed and preserved","10.3"
"475018","2","04.4","04","Animal and vegetable oils and fats","10.4"
"475019","2","04.5","04","Dairy products and ice cream","10.5"
"475020","2","04.6","04","Grain mill products, starches, starch products and prepared animal feeds","10.6, 10.9"
"475021","2","04.7","04","Beverages","11"
"475022","2","04.8","04","Other food products n.e.c. and tobacco products (except in parcel service or grouped)","10.7, 10.8, 12"
"475023","2","04.9","04","Various food products and tobacco products in parcel service or grouped","Various in 10, 11 or 12 / Verschiedene in 10, 11 oder 12 / Divers dans 10, 11 ou 12"
"475024","1","05",,"Textiles and textile products; leather and leather products",
"475025","2","05.1","05","Textiles ","13"
"475026","2","05.2","05","Wearing apparel and articles of fur","14"
"475027","2","05.3","05","Leather and leather products ","15"
"475028","1","06",,"Wood and products of wood and cork (except furniture); articles of straw and plaiting materials; pulp, paper and paper products; printed matter and recorded media",
"475029","2","06.1","06","Products of wood and cork (except furniture)","16"
"475030","2","06.2","06","Pulp, paper and paper products","17"
"475031","2","06.3","06","Printed matter and recorded media","18, 58, 59"
"475032","1","07",,"Coke and refined petroleum products ",
"475033","2","07.1","07","Coke oven products; briquettes, ovoids and similar solid fuels","19.1, 19.20.1"
"475034","2","07.2","07","Liquid refined petroleum products ","19.20.2"
"475035","2","07.3","07","Gaseous, liquefied or compressed petroleum products","19.20.3"
"475036","2","07.4","07","Solid or waxy refined petroleum products","19.20.4"
"475037","1","08",,"Chemicals, chemical products, and man-made fibers; rubber and plastic products ; nuclear fuel",
"475038","2","08.1","08","Basic mineral chemical products","20.11, 20.12, 20.13.2, 20.13.3, 20.13.4, 20.13.5, 20.13.6"
"475039","2","08.2","08","Basic organic chemical products","20.14"
"475040","2","08.3","08","Nitrogen compounds and fertilizers (except natural fertilizers)","20.15"
"475041","2","08.4","08","Basic plastics and synthetic rubber in primary forms","20.16, 20.17"
"475042","2","08.5","08","Pharmaceuticals and parachemicals including pesticides and other agro-chemical products ","20.2, 20.3, 20.4, 20.5, 20.6, 21"
"475043","2","08.6","08","Rubber or plastic products","22"
"475044","2","08.7","08","Nuclear fuel","20.13.1"
"475045","1","09",,"Other non metallic mineral products",
"475046","2","09.1","09","Glass and glass products, ceramic and porcelain products","23.1, 23.2, 23.3, 23.4"
"475047","2","09.2","09","Cement, lime and plaster","23.5"
"475048","2","09.3","09","Other construction materials, manufactures"," 23.6, 23.7, 23.9"
"475049","1","10",,"Basic metals; fabricated metal products, except machinery and equipment",
