"Order","Level","Code","Parent","Description","Référence à la CPA 2008"
"474991","1","01",,"Produits de l’agriculture, de la chasse et de la forêt; poissons et autres produits de pêche",
"474992","2","01.1","01","Céréales","01.11.1, 01.11.2, 01.11.3, 01.11.4, 01.12"
"474993","2","01.2","01","Pommes de terre","01.13.51"
"474994","2","01.3","01","Betteraves à sucre","01.13.71"
"474995","2","01.4","01","Autres légumes et fruits frais","01.11.6, 01.11.7, 01.13.1, 01.13.2, 01.13.3, 01.13.4, 01.13.52, 01.13.53, 01.13.59, 01.13.8, 01.13.9, 01.14, 01.21, 01.22, 01.23, 01.24, 01.25.1, 01.25.3, 01.25.9, 01.26, 02.30.4"
"474996","2","01.5","01","Produits sylvicoles et de l’exploitation forestière","02.10.1, 02.10.3, 02.2, 02.30.1, 02.30.2, 02.30.3"
"474997","2","01.6","01","Plantes et fleurs vivantes","01.13.6, 01.13.72, 01.19.2, 01.25.2, 01.30"
"474998","2","01.7","01","Autres matières d’origine végétale","01.11.5, 01.11.8, 01.11.9, 01.15, 01.16, 01.19.1, 01.19.3, 01.27, 01.28, 01.29"
"474999","2","01.8","01","Animaux vivants","01.41.1, 01.42.1, 01.43, 01.44, 01.45.1, 01.46, 01.47.1, 01.49.1 "
"475000","2","01.9","01","Lait brut de vache, brebis et chèvre","01.41.2, 01.45.2"
"475001","2","01.A","01","Autres matières premières d’origine animale","01.42.2, 01.45.3, 01.47.2, 01.49.2, 01.49.3"
"475002","2","01.B","01","Produits de la pêche et de l’aquaculture","03"
"475003","1","02",,"Houille et lignite; pétrole brut et gaz naturel",
"475004","2","02.1","02","Houille et lignite","05"
"475005","2","02.2","02","Pétrole brut","06.1"
"475006","2","02.3","02","Gaz naturel","06.2"
"475007","1","03",,"Minerais métalliques et autres produits d’extraction; tourbe; minerais d'uranium et thorium",
"475008","2","03.1","03","Minerais de fer","07.1"
"475009","2","03.2","03","Minerais de métaux non ferreux (hors uranium et thorium)","07.29"
"475010","2","03.3","03","Minéraux (bruts) pour l’industrie chimique et engrais naturels","08.91"
"475011","2","03.4","03","Sel","08.93"
"475012","2","03.5","03","Pierre, sables, graviers, argiles, tourbe et autres produits d’extraction n.c.a;","08.1, 08.92, 08.99"
"475013","2","03.6","03","Minerais d’uranium et thorium ","07.21"
"475014","1","04",,"Produits alimentaires, boissons et tabac",
"475015","2","04.1","04","Viandes, peaux et produits à base de viandes","10.1"
"475016","2","04.2","04","Poissons et produits de la pêche, préparés","10.2"
"475017","2","04.3","04","Produits à base de fruits et de légumes","10.3"
"475018","2","04.4","04","Huiles, tourteaux et corps gras","10.4"
"475019","2","04.5","04","Produits laitiers et glaces","10.5"
"475020","2","04.6","04","Farines, céréales transformées, produits amylacés et aliments pour animaux","10.6, 10.9"
"475021","2","04.7","04","Boissons","11"
"475022","2","04.8","04","Autres produits alimentaires n.c.a. et tabac manufacturé (hors messagerie ou groupage alimentaire)","10.7, 10.8, 12"
"475023","2","04.9","04","Produits alimentaires divers et tabac manufacturé en messagerie ou groupage","Various in 10, 11 or 12 / Verschiedene in 10, 11 oder 12 / Divers dans 10, 11 ou 12"
"475024","1","05",,"Textiles et produits textiles; cuir et articles en cuir",
"475025","2","05.1","05","Produits de l’industrie textile","13"
"475026","2","05.2","05","Articles d’habillement et fourrures","14"
"475027","2","05.3","05","Cuir, articles de voyages, chaussures","15"
"475028","1","06",,"Bois et produits du bois et du liège (hormis les meubles); vannerie et sparterie, pâte à papier, papier et articles en papier, produits imprimés ou supports enregistrés",
"475029","2","06.1","06","Produits du travail du bois et du liège (sauf meubles)","16"
"475030","2","06.2","06","Pâte à papier, papiers et cartons","17"
"475031","2","06.3","06","Produits de l’édition, produits imprimés ou reproduits","18, 58, 59"
"475032","1","07",,"Coke et produits pétroliers raffinés ",
"475033","2","07.1","07","Cokes et goudrons; agglomérés et combustibles solides similaires","19.1, 19.20.1"
"475034","2","07.2","07","Produits pétroliers raffinés liquides ","19.20.2"
"475035","2","07.3","07","Produits pétroliers raffinés gazeux, liquéfiés ou comprimés","19.20.3"
"475036","2","07.4","07","Produits pétroliers raffinés solides ou pâteux","19.20.4"
"475037","1","08",,"Produits chimiques et fibres synthétiques, produits en caoutchouc ou en plastique ; produits des industries nucléaires",
"475038","2","08.1","08","Produits chimiques minéraux de base","20.11, 20.12, 20.13.2, 20.13.3, 20.13.4, 20.13.5, 20.13.6"
"475039","2","08.2","08","Produits chimiques organiques de base","20.14"
"475040","2","08.3","08","Produits azotés et engrais (hors engrais naturels)","20.15"
"475041","2","08.4","08","Matières plastiques de base et caoutchouc synthétique primaire","20.16, 20.17"
"475042","2","08.5","08","Produits pharmaceutiques et parachimiques y inclus les pesticides et autres produits agrochimiques","20.2, 20.3, 20.4, 20.5, 20.6, 21"
"475043","2","08.6","08","Produits en caoutchouc ou en plastique","22"
"475044","2","08.7","08","Produits des industries nucléaires","20.13.1"
"475045","1","09",,"Autres produits minéraux non métalliques",
"475046","2","09.1","09","Verre, verrerie, produits céramique et porcelaine","23.1, 23.2, 23.3, 23.4"
"475047","2","09.2","09","Ciment, chaux et plâtre","23.5"
"475048","2","09.3","09","Autres matériaux de construction, manufacturés"," 23.6, 23.7, 23.9"
"475049","1","10",,"Métaux de base, produits du travail des métaux, sauf machines et matériels",
"475050","2","10.1","10","Produits sidérurgiques et produits de la transformation de l’acier (hors tubes et tuyaux)","24.1, 24.3"
"475051","2","10.2","10","Métaux non ferreux et produits dérivés","24.4"
"475052","2","10.3","10","Tubes et tuyaux","24.2, 24.5"
"475053","2","10.4","10","Éléments en métal pour la construction","25.1"
"475054","2","10.5","10","Chaudières, quincaillerie, armes et munitions et autres articles manufacturés en métal","25.2, 25.3, 25.4, 25.7, 25.9"
"475055","1","11",,"Machines et matériel n.c.a. machines de bureau et matériel informatique; machines et appareils électriques, n.c.a.; équipements de radio, télévision et communication; instruments médicaux, de précision et d’optique; montres, pendules et horloges",
"475056","2","11.1","11","Machines agricoles","28.3"
"475057","2","11.2","11","Appareils domestiques (électro-ménager blanc)","27.5"
"475058","2","11.3","11","Machines de bureau et matériel informatique","26.2, 28.23"
"475059","2","11.4","11","Machines et appareils électriques n.c.a.","27.1, 27.2, 27.3, 27.4, 27.9"
"475060","2","11.5","11","Composants électroniques et appareils d’émission et de transmission","26.1, 26.3"
"475061","2","11.6","11","Appareils de réception, enregistrement ou reproduction du son ou de l’image (électro-ménager brun)","26.4, 26.8"
"475062","2","11.7","11","Instruments médicaux, de précision, d’optique et d’horlogerie","26.5, 26.6, 26.7, 32.5"
"475063","2","11.8","11","Autres machines, machines-outils, armes et munitions et pièces","28.1, 28.21, 28.22, 28.24, 28.25, 28.29, 28.4, 28.9"
"475064","1","12",,"Matériel de transport",
"475065","2","12.1","12","Produits de l’industrie automobile","29"
"475066","2","12.2","12","Autres matériels de transport","30"
"475067","1","13",,"Meubles et autres articles manufacturés n.c.a.",
"475068","2","13.1","13","Meubles ","31"
"475069","2","13.2","13","Autres articles manufacturés","32.1, 32.2, 32.3, 32.4, 32.9"
"475070","1","14",,"Matières premières secondaires; déchets de voirie et autres déchets",
"475071","2","14.1","14","Ordures ménagères et déchets de voirie","38.11.31"
"475072","2","14.2","14","Autres déchets et matières premières secondaires","37.00.20, Others 38.11, 38.12, 38.3 / 37.00.20, Andere 38.11, 38.12, 38.3 / 37.00.20, Autres 38.11, 38.12, 38.3"
"475073","1","15",,"Courrier, colis",
"475074","2","15.1","15","Courrier","Not applicable / Nicht genannt / Sans objet"
"475075","2","15.2","15","Messagerie, petits colis","Not applicable / Nicht genannt / Sans objet"
"475076","1","16",,"Équipement et matériels utilisés dans le transport de marchandises",
"475077","2","16.1","16","Containers et caisses mobiles en service, vides","Not applicable / Nicht genannt / Sans objet"
"475078","2","16.2","16","Palettes et autres emballages en service, vides","Not applicable / Nicht genannt / Sans objet"
"475079","1","17",,"Marchandises transportées dans le cadre de déménagements (biens d’équipement ménager et mobilier de bureau), bagages et biens d'accompagnement des voyageurs; véhicules automobiles transportés pour réparation; autres biens non marchands n.c.a.",
"475080","2","17.1","17","Mobilier de déménagement","Not applicable / Nicht genannt / Sans objet"
"475081","2","17.2","17","Bagages et biens d’accompagnement des voyageurs","Not applicable / Nicht genannt / Sans objet"
"475082","2","17.3","17","Véhicules en réparation","Not applicable / Nicht genannt / Sans objet"
"475083","2","17.4","17","Échafaudages","Not applicable / Nicht genannt / Sans objet"
