"Order","Level","Code","Parent","Description","Reference to CPA 2008"
"474991","1","01",,"Producten van de landbouw, jacht en bosbouw; vis en andere visserijproducten",
"474992","2","01.1","01","Granen","01.11.1, 01.11.2, 01.11.3, 01.11.4, 01.12"
"474993","2","01.2","01","Aardappelen","01.13.51"
"474994","2","01.3","01","Suikerbieten ","01.13.71"
"474995","2","01.4","01","Andere verse groenten en vers fruit","01.11.6, 01.11.7, 01.13.1, 01.13.2, 01.13.3, 01.13.4, 01.13.52, 01.13.53, 01.13.59, 01.13.8, 01.13.9, 01.14, 01.21, 01.22, 01.23, 01.24, 01.25.1, 01.25.3, 01.25.9, 01.26, 02.30.4"
"474996","2","01.5","01","Producten van de bosbouw","02.10.1, 02.10.3, 02.2, 02.30.1, 02.30.2, 02.30.3"
"474997","2","01.6","01","Levende planten en bloemen","01.13.6, 01.13.72, 01.19.2, 01.25.2, 01.30"
"474998","2","01.7","01","Andere stoffen van plantaardige oorsprong","01.11.5, 01.11.8, 01.11.9, 01.15, 01.16, 01.19.1, 01.19.3, 01.27, 01.28, 01.29"
"474999","2","01.8","01","Levende dieren","01.41.1, 01.42.1, 01.43, 01.44, 01.45.1, 01.46, 01.47.1, 01.49.1 "
"475000","2","01.9","01","Rauwe melk van runderen, schapen en geiten","01.41.2, 01.45.2"
"475001","2","01.A","01","Andere grondstoffen van dierlijke oorsprong","01.42.2, 01.45.3, 01.47.2, 01.49.2, 01.49.3"
"475002","2","01.B","01","Vis en andere visserijproducten ","03"
"475003","1","02",,"Steenkool en bruinkool; ruwe aardolie en aardgas",
"475004","2","02.1","02","Steenkool en bruinkool ","05"
"475005","2","02.2","02","Ruwe aardolie ","06.1"
"475006","2","02.3","02","Aardgas ","06.2"
"475007","1","03",,"Metaalertsen en andere delfstoffen; turf; uranium en thorium",
"475008","2","03.1","03","IJzererts","07.1"
"475009","2","03.2","03","Non-ferrometaalertsen (andere dan uranium- en thoriumerts)","07.29"
"475010","2","03.3","03","Mineralen voor de chemische en kunstmestindustrie","08.91"
"475011","2","03.4","03","Zout","08.93"
"475012","2","03.5","03","Steen, zand, grind, klei, turf en andere delfstoffen, n.e.g.","08.1, 08.92, 08.99"
"475013","2","03.6","03","Uranium- en thoriumerts","07.21"
"475014","1","04",,"Voedings- en genotmiddelen",
"475015","2","04.1","04","Vlees, ongelooide huiden en vellen en vleesproducten","10.1"
"475016","2","04.2","04","Vis en visproducten, verwerkt en verduurzaamd","10.2"
"475017","2","04.3","04","Groenten en fruit, verwerkt en verduurzaamd","10.3"
"475018","2","04.4","04","Dierlijke en plantaardige oliën en vetten","10.4"
"475019","2","04.5","04","Zuivelproducten en consumptie-ijs","10.5"
"475020","2","04.6","04","Maalderijproducten, zetmeel en zetmeelproducten; bereide diervoeders","10.6, 10.9"
"475021","2","04.7","04","Dranken","11"
"475022","2","04.8","04","Overige voedingsmiddelen n.e.g en tabaksproducten (behalve in pakketten of gegroepeerd)","10.7, 10.8, 12"
"475023","2","04.9","04","Diverse voedingsmiddelen en tabaksproducten, in pakketten of gegroepeerd","Various in 10, 11 or 12 / Verschiedene in 10, 11 oder 12 / Divers dans 10, 11 ou 12"
"475024","1","05",,"Textiel en textielproducten; leder en lederwaren",
"475025","2","05.1","05","Textiel ","13"
"475026","2","05.2","05","Kleding en artikelen van bont","14"
"475027","2","05.3","05","Leder en lederwaren ","15"
"475028","1","06",,"Hout, hout- en kurkwaren (m.u.v. meubelen); vlecht- en mandenmakerswerk; pulp, papier en papierwaren; drukwerk en opgenomen media",
"475029","2","06.1","06","Hout- en kurkwaren (m.u.v. meubelen)","16"
"475030","2","06.2","06","Pulp, papier en papierwaren","17"
"475031","2","06.3","06","Drukwerk en opgenomen media","18, 58, 59"
"475032","1","07",,"Cokes en geraffineerde aardolieproducten ",
"475033","2","07.1","07","Cokesovenproducten, briketten, eierkolen en dergelijke vaste brandstoffen","19.1, 19.20.1"
"475034","2","07.2","07","Vloeibare geraffineerde aardolieproducten ","19.20.2"
"475035","2","07.3","07","Gasvormige aardolieproducten, ook indien vloeibaar gemaakt of geperst","19.20.3"
"475036","2","07.4","07","Geraffineerde vaste of wasvormige aardolieproducten","19.20.4"
"475037","1","08",,"Chemische producten en synthetische of kunstmatige vezels; producten van rubber of kunststof; splijt- en kweekstoffen ",
"475038","2","08.1","08","Anorganische chemische basisproducten","20.11, 20.12, 20.13.2, 20.13.3, 20.13.4, 20.13.5, 20.13.6"
"475039","2","08.2","08","Organische chemische basisproducten","20.14"
"475040","2","08.3","08","Kunstmeststoffen en stikstofverbindingen (behalve natuurlijke meststoffen)","20.15"
"475041","2","08.4","08","Kunststoffen en synthetische rubber in primaire vormen","20.16, 20.17"
"475042","2","08.5","08","Farmaceutische producten en chemische specialiteiten, met inbegrip van verdelgingsmiddelen, en andere chemische producten voor de landbouw","20.2, 20.3, 20.4, 20.5, 20.6, 21"
"475043","2","08.6","08","Producten van rubber of kunststof","22"
"475044","2","08.7","08","Splijt- en kweekstoffen","20.13.1"
"475045","1","09",,"Overige niet-metaalhoudende minerale producten",
"475046","2","09.1","09","Glas en glaswerk, keramische producten","23.1, 23.2, 23.3, 23.4"
"475047","2","09.2","09","Cement, kalk en gips","23.5"
"475048","2","09.3","09","Overige bouwmaterialen en ‑producten"," 23.6, 23.7, 23.9"
"475049","1","10",,"Metalen in primaire vorm; producten van metaal, andere dan machines en apparaten",
"475050","2","10.1","10","IJzer en staal in primaire vormen; ferrolegeringen; ijzer en staal, eerste verwerking (behalve buizen)","24.1, 24.3"
"475051","2","10.2","10","Non-ferrometalen en producten daarvan","24.4"
"475052","2","10.3","10","Buizen, pijpen, holle profielen en fittings daarvoor, van metaal","24.2, 24.5"
